what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1416821556350
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1416821556350
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1416821556351
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1416821556364
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1416821556365
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1416821556366
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1416821556396
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1416821556396
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1416821556397
started,bundle,org.eclipse.core.jobs,3.4.100.v20090429-1800,"org.eclipse.core.jobs",1416821556397
started,bundle,org.eclipse.core.net,1.2.1.r35x_20090812-1200,"org.eclipse.core.net",1416821556398
started,bundle,org.eclipse.core.resources,3.5.2.R35x_v20091203-1235,"org.eclipse.core.resources",1416821556443
started,bundle,org.eclipse.core.runtime,3.5.0.v20090525,"org.eclipse.core.runtime",1416821556444
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20090413,"org.eclipse.core.runtime.compatibility",1416821556450
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20090413,"org.eclipse.core.runtime.compatibility.auth",1416821556451
started,bundle,org.eclipse.ecf,3.0.0.v20090831-1906,"org.eclipse.ecf",1416821556452
started,bundle,org.eclipse.ecf.filetransfer,3.0.0.v20090831-1906,"org.eclipse.ecf.filetransfer",1416821556452
started,bundle,org.eclipse.ecf.identity,3.0.0.v20090831-1906,"org.eclipse.ecf.identity",1416821556453
started,bundle,org.eclipse.ecf.provider.filetransfer,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer",1416821556480
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer.httpclient",1416821556481
started,bundle,org.eclipse.equinox.app,1.2.1.R35x_v20091203,"org.eclipse.equinox.app",1416821556481
started,bundle,org.eclipse.equinox.common,3.5.1.R35x_v20090807-1100,"org.eclipse.equinox.common",1416821556482
started,bundle,org.eclipse.equinox.ds,1.1.1.R35x_v20090806,"org.eclipse.equinox.ds",1416821556483
started,bundle,org.eclipse.equinox.frameworkadmin,1.0.100.v20090520-1905,"org.eclipse.equinox.frameworkadmin",1416821556483
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.101.R35x_v20091214,"org.eclipse.equinox.frameworkadmin.equinox",1416821556483
started,bundle,org.eclipse.equinox.p2.core,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.core",1416821556484
started,bundle,org.eclipse.equinox.p2.director,1.0.101.R35x_v20100112,"org.eclipse.equinox.p2.director",1416821556485
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.100.v20090525,"org.eclipse.equinox.p2.directorywatcher",1416821556486
started,bundle,org.eclipse.equinox.p2.engine,1.0.102.R35x_v20091117,"org.eclipse.equinox.p2.engine",1416821556486
started,bundle,org.eclipse.equinox.p2.exemplarysetup,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.exemplarysetup",1416821556486
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.garbagecollector",1416821556487
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.0.101.R35x_v20090812,"org.eclipse.equinox.p2.metadata.repository",1416821556488
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.reconciler.dropins",1416821556488
started,bundle,org.eclipse.equinox.p2.repository,1.0.1.R35x_v20100105,"org.eclipse.equinox.p2.repository",1416821556489
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.scheduler",1416821556489
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.0.v20090520-1905,"org.eclipse.equinox.p2.updatechecker",1416821556490
started,bundle,org.eclipse.equinox.preferences,3.2.301.R35x_v20091117,"org.eclipse.equinox.preferences",1416821556490
started,bundle,org.eclipse.equinox.registry,3.4.100.v20090520-1800,"org.eclipse.equinox.registry",1416821556491
started,bundle,org.eclipse.equinox.security,1.0.100.v20090520-1800,"org.eclipse.equinox.security",1416821556512
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.101.R35x_v20100209,"org.eclipse.equinox.simpleconfigurator.manipulator",1416821556512
started,bundle,org.eclipse.equinox.util,1.0.100.v20090520-1800,"org.eclipse.equinox.util",1416821556513
started,bundle,org.eclipse.help,3.4.1.v20090805_35x,"org.eclipse.help",1416821556532
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1416821556532
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,"org.eclipse.jdt.core.manipulation",1416821556533
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1416821556556
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1416821556567
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1416821556567
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1416821556568
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1416821556568
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1416821556569
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1416821556588
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1416821556589
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1416821556590
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1416821556591
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1416821556591
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1416821556592
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1416821556607
started,bundle,org.eclipse.ui.intro,3.3.2.v20100111_35x,"org.eclipse.ui.intro",1416821556607
started,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1416821556607
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1416821556608
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1416821556608
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1416821556609
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1416821556617
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1416821556617
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1416821556618
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1416821556633
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1416821556633
started,bundle,com.collabnet.subversion.merge,3.0.13,"com.collabnet.subversion.merge",1416821556633
started,bundle,org.tigris.subversion.clientadapter,1.8.6,"org.tigris.subversion.clientadapter",1416821556633
started,bundle,org.tigris.subversion.subclipse.core,1.8.22,"org.tigris.subversion.subclipse.core",1416821556633
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1416821556633
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1416821556633
started,bundle,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui",1416821556643
started,bundle,com.google.gdt.eclipse.core,3.1.2.v201211121238-rel-r35,"com.google.gdt.eclipse.core",1416821556644
started,bundle,com.google.gdt.eclipse.login,3.1.2.v201211121238-rel-r35,"com.google.gdt.eclipse.login",1416821556645
started,bundle,com.google.gdt.eclipse.managedapis,3.1.2.v201211121238-rel-r35,"com.google.gdt.eclipse.managedapis",1416821556647
started,bundle,com.google.gdt.eclipse.suite.ext,3.1.2.v201211121238-rel-r35,"com.google.gdt.eclipse.suite.ext",1416821556647
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1416821556661
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.1.R201001291118,"org.eclipse.epp.usagedata.gathering",1416821556662
started,bundle,org.eclipse.epp.usagedata.recording,1.1.1.R201001291118,"org.eclipse.epp.usagedata.recording",1416821556662
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1416821556663
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1416821556663
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1416821556663
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1416821556663
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1416821556685
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1416821556686
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1416821556687
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1416821556690
os,sysinfo,,,"win32",1416821556693
arch,sysinfo,,,"x86",1416821556693
ws,sysinfo,,,"win32",1416821556693
locale,sysinfo,,,"en_IN",1416821556694
processors,sysinfo,,,"4",1416821556694
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1416821556694
java.runtime.version,sysinfo,,,"1.7.0_55-b14",1416821556694
java.specification.name,sysinfo,,,"Java Platform API Specification",1416821556694
java.specification.vendor,sysinfo,,,"Oracle Corporation",1416821556694
java.specification.version,sysinfo,,,"1.7",1416821556694
java.vendor,sysinfo,,,"Oracle Corporation",1416821556694
java.version,sysinfo,,,"1.7.0_55",1416821556694
java.vm.info,sysinfo,,,"mixed mode, sharing",1416821556694
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1416821556694
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1416821556694
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1416821556694
java.vm.specification.version,sysinfo,,,"1.7",1416821556694
java.vm.vendor,sysinfo,,,"Oracle Corporation",1416821556694
java.vm.version,sysinfo,,,"24.55-b03",1416821556694
started,bundle,com.salesforce.ide.api,28.0.1.201309101331,"com.salesforce.ide.api",1416821557334
started,bundle,com.salesforce.ide.core.compatibility,28.0.1.201309101331,"com.salesforce.ide.core.compatibility",1416821561855
started,bundle,com.salesforce.ide.core.compatibility.auth.platformdb,28.0.1.201309101331,"com.salesforce.ide.core.compatibility.auth.platformdb",1416821561866
started,bundle,com.salesforce.ide.core,28.0.1.201309101331,"com.salesforce.ide.core",1416821562208
started,bundle,com.salesforce.ide.ui,28.0.1.201309101331,"com.salesforce.ide.ui",1416821562401
started,bundle,com.salesforce.ide.ui.editors.intro,28.0.1.201309101331,"com.salesforce.ide.ui.editors.intro",1416821562404
started,bundle,com.salesforce.ide.upgrade,28.0.1.201309101331,"com.salesforce.ide.upgrade",1416821562419
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416821569071
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416821572115
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416821574355
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1416821575578
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1416821575601
closed,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1416821575662
activated,view,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1416821579643
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1416821579685
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1416821581439
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1416821581451
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1416821583059
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1416821583078
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416821592485
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416821610573
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.newWizard",1416821610587
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416821611766
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416821617323
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.newWizard",1416821617334
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416821630863
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416821654806
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1416821654905
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1416821655166
started,bundle,com.google.gdt.eclipse.platform.e35,3.1.2.v201211121238-rel-r35,"com.google.gdt.eclipse.platform.e35",1416821655236
started,bundle,com.google.gwt.eclipse.core,3.1.2.v201211121238-rel-r35,"com.google.gwt.eclipse.core",1416821655444
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1416821655582
started,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1416821655624
started,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1416821655727
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1416821656114
started,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1416821656383
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1416821656884
started,bundle,org.eclipse.wst.common.uriresolver,1.1.301.v200805140415,"org.eclipse.wst.common.uriresolver",1416821657163
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1416821657782
started,bundle,org.eclipse.emf.ecore,2.5.0.v200906151043,"org.eclipse.emf.ecore",1416821657818
started,bundle,org.eclipse.jem.util,2.0.201.v201001252130,"org.eclipse.jem.util",1416821657820
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1416821657821
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1416821657840
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1416821658050
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1416821658052
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1416821658093
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1416821658180
started,bundle,org.eclipse.wst.xsd.core,1.1.401.v200903020335,"org.eclipse.wst.xsd.core",1416821658369
started,bundle,org.eclipse.xsd,2.5.0.v200906151043,"org.eclipse.xsd",1416821658446
started,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1416821658872
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,"org.eclipse.wst.internet.cache",1416821658879
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1416821659064
opened,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1416821659142
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1416821659639
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1416821659640
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.edit.text.openLocalFile",1416821659645
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1416821659811
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1416821661243
closed,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1416821661243
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416821671923
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416821675363
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416821690049
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416821693481
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416821695829
error,log,,,"ERROR [2014-11-24 15:05:53,218] (PackageManifestFactory.java:getPackageManifest:114) - Unable to create package manifest\r\n",1416821753251
started,bundle,org.tigris.subversion.clientadapter.javahl,1.7.10,"org.tigris.subversion.clientadapter.javahl",1416821753295
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.7.9.2,"org.tigris.subversion.clientadapter.svnkit",1416821753304
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416821760526
activated,perspective,com.salesforce.ide.ui,28.0.1.201309101331,"com.salesforce.ide.perspective",1416821760620
started,bundle,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser",1416821760641
opened,editor,com.salesforce.ide.ui.editors.intro,28.0.1.201309101331,"com.salesforce.ide.ui.editors.intro",1416821760926
activated,editor,com.salesforce.ide.ui.editors.intro,28.0.1.201309101331,"com.salesforce.ide.ui.editors.intro",1416821760985
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.newWizard",1416821761090
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1416821764125
closed,editor,com.salesforce.ide.ui.editors.intro,28.0.1.201309101331,"com.salesforce.ide.ui.editors.intro",1416821764125
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416821765255
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416821766693
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416821766800
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1416821767130
stopped,bundle,org.eclipse.pde.ds.ui,1.0.0.v20100209-maintenance,"org.eclipse.pde.ds.ui",1416821767131
stopped,bundle,org.eclipse.pde.runtime,3.4.100.v20090731,"org.eclipse.pde.runtime",1416821767132
stopped,bundle,org.eclipse.pde.ua.ui,1.0.0.v20090511,"org.eclipse.pde.ua.ui",1416821767133
stopped,bundle,org.eclipse.pde.ui.templates,3.4.100.v20090527,"org.eclipse.pde.ui.templates",1416821767134
stopped,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1416821767134
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1416821767135
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1416821767203
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1416821767204
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1416821767205
stopped,bundle,com.google.appengine.eclipse.datatools,3.1.2.v201211121238-rel-r35,"com.google.appengine.eclipse.datatools",1416821767206
stopped,bundle,com.google.gdt.eclipse.appengine.swarm_backend,3.1.2.v201211121238-rel-r35,"com.google.gdt.eclipse.appengine.swarm_backend",1416821767207
stopped,bundle,com.google.gdt.eclipse.appengine.swarm,3.1.2.v201211121238-rel-r35,"com.google.gdt.eclipse.appengine.swarm",1416821767208
stopped,bundle,com.google.gdt.eclipse.appengine.rpc,3.1.2.v201211121238-rel-r35,"com.google.gdt.eclipse.appengine.rpc",1416821767209
stopped,bundle,com.google.gdt.eclipse.gph.hge,3.1.2.v201211121238-rel-r35,"com.google.gdt.eclipse.gph.hge",1416821767209
stopped,bundle,com.google.gdt.eclipse.gph.subclipse,3.1.2.v201211121238-rel-r35,"com.google.gdt.eclipse.gph.subclipse",1416821767210
stopped,bundle,com.google.gdt.eclipse.gph.subversive,3.1.2.v201211121238-rel-r35,"com.google.gdt.eclipse.gph.subversive",1416821767211
stopped,bundle,com.google.gdt.eclipse.suite.ext,3.1.2.v201211121238-rel-r35,"com.google.gdt.eclipse.suite.ext",1416821767211
stopped,bundle,com.google.gdt.eclipse.suite.ext.e38,3.5.1.v201312301723-rel-r43,"com.google.gdt.eclipse.suite.ext.e38",1416821767212
stopped,bundle,com.google.gdt.eclipse.gph,3.1.2.v201211121238-rel-r35,"com.google.gdt.eclipse.gph",1416821767213
stopped,bundle,com.google.gdt.eclipse.maven.e35,3.1.2.v201211121238-rel-r35,"com.google.gdt.eclipse.maven.e35",1416821767228
stopped,bundle,com.google.gdt.eclipse.maven,3.1.2.v201211121238-rel-r35,"com.google.gdt.eclipse.maven",1416821767237
stopped,bundle,com.google.gdt.eclipse.suite,3.1.2.v201211121238-rel-r35,"com.google.gdt.eclipse.suite",1416821767237
stopped,bundle,com.google.gdt.eclipse.appsmarketplace,3.1.2.v201211121238-rel-r35,"com.google.gdt.eclipse.appsmarketplace",1416821767280
stopped,bundle,com.google.gdt.eclipse.managedapis,3.1.2.v201211121238-rel-r35,"com.google.gdt.eclipse.managedapis",1416821767280
stopped,bundle,com.google.appengine.eclipse.core,3.1.2.v201211121238-rel-r35,"com.google.appengine.eclipse.core",1416821767317
stopped,bundle,com.google.gdt.eclipse.login,3.1.2.v201211121238-rel-r35,"com.google.gdt.eclipse.login",1416821767317
stopped,bundle,com.google.gwt.eclipse.oophm,3.1.2.v201211121238-rel-r35,"com.google.gwt.eclipse.oophm",1416821767334
stopped,bundle,com.google.gwt.eclipse.sdkbundle,2.5.0.v201211121238-rel-r35,"com.google.gwt.eclipse.sdkbundle",1416821767360
stopped,bundle,com.google.gwt.eclipse.core,3.1.2.v201211121238-rel-r35,"com.google.gwt.eclipse.core",1416821767364
stopped,bundle,com.google.gdt.eclipse.core,3.1.2.v201211121238-rel-r35,"com.google.gdt.eclipse.core",1416821767364
stopped,bundle,com.google.gdt.eclipse.platform,3.1.2.v201211121238-rel-r35,"com.google.gdt.eclipse.platform",1416821767378
stopped,bundle,com.google.gdt.eclipse.platform.e35,3.1.2.v201211121238-rel-r35,"com.google.gdt.eclipse.platform.e35",1416821767378
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1416821767437
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1416821767451
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1416821767452
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1416821767465
stopped,bundle,com.google.gdt.eclipse.platform.shared,3.1.2.v201211121238-rel-r35,"com.google.gdt.eclipse.platform.shared",1416821767540
stopped,bundle,com.salesforce.ide.schemabrowser,28.0.1.201309101331,"com.salesforce.ide.schemabrowser",1416821767613
stopped,bundle,com.salesforce.ide.deployment,28.0.1.201309101331,"com.salesforce.ide.deployment",1416821767664
stopped,bundle,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors",1416821767665
stopped,bundle,com.salesforce.ide.ui.editors.intro,28.0.1.201309101331,"com.salesforce.ide.ui.editors.intro",1416821767665
stopped,bundle,com.salesforce.ide.upgrade,28.0.1.201309101331,"com.salesforce.ide.upgrade",1416821767665
stopped,bundle,com.salesforce.ide.ui,28.0.1.201309101331,"com.salesforce.ide.ui",1416821767665
stopped,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1416821767665
stopped,bundle,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.ui",1416821767713
stopped,bundle,org.eclipse.wst.css.ui,1.0.401.v200907171457,"org.eclipse.wst.css.ui",1416821767762
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1416821767762
